No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,team_abbr
34,Oscar Tshiebwe,C,6-8,255,"November 27, 1999",cd CD,1,"West Virginia, Kentucky",UTA
5,Cody Williams,SG,6-8,190,"November 20, 2004",us US,R,Colorado,UTA
35,Marvin Bagley III,C,6-10,235,"March 14, 1999",us US,6,Duke,WAS
7,Patrick Baldwin Jr.,SF,7-0,220,"November 18, 2002",us US,2,UW-Milwaukee,WAS
15,Malcolm Brogdon,PG,6-4,229,"December 11, 1992",us US,8,Virginia,WAS
4,Jared Butler,PG,6-3,193,"August 25, 2000",us US,3,Baylor,WAS
8,Bub Carrington,PG,6-4,190,"July 21, 2005",us US,R,Pitt,WAS
9,Justin Champagnie,SF,6-6,206,"June 29, 2001",us US,3,Pitt,WAS
0,Bilal Coulibaly,SF,6-7,195,"July 26, 2004",fr FR,1,,WAS
1,Johnny Davis,SG,6-4,195,"February 27, 2002",us US,2,Wisconsin,WAS
18,Kyshawn George,SG,6-8,200,"December 12, 2003",ch CH,R,Miami (FL),WAS
16,Anthony Gill,PF,6-7,230,"October 17, 1992",us US,4,"South Carolina, Virginia",WAS
22,Richaun Holmes,PF,6-9,235,"October 15, 1993",us US,9,Bowling Green,WAS
5,AJ Johnson,SG,6-5,160,"December 1, 2004",us US,R,,WAS
1,Colby Jones,SG,6-6,207,"May 28, 2002",us US,1,Xavier,WAS
24,Corey Kispert,SF,6-6,224,"March 3, 1999",us US,3,Gonzaga,WAS
33,Kyle Kuzma,PF,6-8,221,"July 24, 1995",us US,7,Utah,WAS
4,Jaylen Martin,SF,6-6,216,"January 28, 2004",us US,R,,WAS
26,Jalen McDaniels,SF,6-9,205,"January 31, 1998",us US,5,San Diego State,WAS
32,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,12,Texas A&M,WAS
13,Jordan Poole,SG,6-4,194,"June 19, 1999",us US,5,Michigan,WAS
20,Alex Sarr,C,7-0,205,"April 26, 2005",fr FR,R,,WAS
36,Marcus Smart,PG,6-3,220,"March 6, 1994",us US,10,Oklahoma State,WAS
21,JT Thor,PF,6-9,203,"August 26, 2002",us US,3,Auburn,WAS
17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt LT,12,,WAS
0,Tristan Vukcevic,C,7-0,220,"March 11, 2003",it IT,1,,WAS
